"filename", "language", "rs", "comment", "blank", "total"
"/home/ritwik/fri-binius/src/lib.rs", "rs", 4, 0, 0, 4
"/home/ritwik/fri-binius/src/prover.rs", "rs", 262, 6, 55, 323
"/home/ritwik/fri-binius/src/tests.rs", "rs", 61, 1, 16, 78
"/home/ritwik/fri-binius/src/utils/channel.rs", "rs", 95, 3, 12, 110
"/home/ritwik/fri-binius/src/utils/code.rs", "rs", 88, 3, 21, 112
"/home/ritwik/fri-binius/src/utils/merkle.rs", "rs", 154, 6, 38, 198
"/home/ritwik/fri-binius/src/utils/mle.rs", "rs", 203, 2, 33, 238
"/home/ritwik/fri-binius/src/utils/mod.rs", "rs", 5, 0, 1, 6
"/home/ritwik/fri-binius/src/verifier.rs", "rs", 144, 4, 34, 182
"Total", "-", 1016, 25, 210, 1251
