"filename", "language", "rs", "comment", "blank", "total"
"/home/ritwik/fri-binius/src/prover.rs", "rs", 79, 6, 7, 92
"/home/ritwik/fri-binius/src/tests.rs", "rs", 0, 1, 0, 1
"/home/ritwik/fri-binius/src/utils/channel.rs", "rs", -3, 3, 0, 0
"/home/ritwik/fri-binius/src/utils/code.rs", "rs", 4, 4, 3, 11
"/home/ritwik/fri-binius/src/utils/merkle.rs", "rs", -2, 6, 1, 5
"/home/ritwik/fri-binius/src/utils/mle.rs", "rs", -2, 2, 1, 1
"/home/ritwik/fri-binius/src/utils/mod.rs", "rs", 1, 0, 0, 1
"/home/ritwik/fri-binius/src/verifier.rs", "rs", 24, 4, 8, 36
"Total", "-", 101, 26, 20, 147
