"filename", "language", "rs", "comment", "blank", "total"
"/home/ritwik/fri-binius/src/lib.rs", "rs", 4, 0, 0, 4
"/home/ritwik/fri-binius/src/prover.rs", "rs", 151, 0, 45, 196
"/home/ritwik/fri-binius/src/tests.rs", "rs", 61, 0, 16, 77
"/home/ritwik/fri-binius/src/utils/channel.rs", "rs", 93, 0, 11, 104
"/home/ritwik/fri-binius/src/utils/code.rs", "rs", 69, 0, 9, 78
"/home/ritwik/fri-binius/src/utils/merkle.rs", "rs", 157, 0, 37, 194
"/home/ritwik/fri-binius/src/utils/mle.rs", "rs", 184, 0, 28, 212
"/home/ritwik/fri-binius/src/utils/mod.rs", "rs", 4, 0, 1, 5
"/home/ritwik/fri-binius/src/verifier.rs", "rs", 63, 0, 22, 85
"Total", "-", 786, 0, 169, 955
